,copies,f1,f1_fid,score_p,score_n,score_fidp,score_fidn
0,1.0,0.6464103,0.6464103,0.2047768,-0.12518857,0.10911884,-0.050839365
1,2.0,0.6464103,0.6464103,0.2533513,-0.13832518,0.17413786,-0.0750324
2,3.0,0.6464103,0.6464103,0.27350846,-0.13369575,0.2119954,-0.084183715
3,4.0,0.6273626,0.6464103,0.28058344,-0.12321584,0.23312302,-0.085172385
4,5.0,0.6273626,0.6464103,0.28081384,-0.11122583,0.24389546,-0.081953235
5,6.0,0.6273626,0.6464103,0.2772928,-0.09947254,0.24821973,-0.07674729
6,7.0,0.6273626,0.6464103,0.27169856,-0.088627465,0.2485106,-0.0707738
7,8.0,0.6273626,0.6464103,0.26498923,-0.07889054,0.24627724,-0.06468292
8,9.0,0.6273626,0.6464103,0.25772887,-0.07025666,0.2424742,-0.058805846
9,10.0,0.6273626,0.6133766,0.250256,-0.062638,0.23771258,-0.05329729
10,11.0,0.6376191,0.6133766,0.24277511,-0.0559206,0.23238795,-0.048215993
11,12.0,0.6133766,0.6133766,0.23540947,-0.049989514,0.22675867,-0.043569993
12,13.0,0.6133766,0.6133766,0.22823222,-0.04473918,0.22099487,-0.039341718
13,14.0,0.6133766,0.6133766,0.22128475,-0.040076833,0.21520892,-0.035501845
14,15.0,0.6133766,0.6133766,0.21458872,-0.035922673,0.20947489,-0.032016844
15,16.0,0.66670996,0.6133766,0.20815304,-0.032208763,0.20384152,-0.028852856
16,17.0,0.66670996,0.6133766,0.2019786,-0.028877527,0.19834009,-0.025977712
17,18.0,0.66670996,0.6133766,0.19606134,-0.02588011,0.19299021,-0.023361767
18,19.0,0.66670996,0.6133766,0.19039413,-0.02317505,0.18780333,-0.020978194
19,20.0,0.66670996,0.66670996,0.18496792,-0.020727005,0.1827853,-0.01880296
20,21.0,0.66670996,0.66670996,0.17977282,-0.018505748,0.17793812,-0.016814683
21,22.0,0.6524242,0.66670996,0.1747984,-0.016485333,0.17326112,-0.014994346
22,23.0,0.6524242,0.66670996,0.17003416,-0.014643358,0.16875175,-0.013325116
23,24.0,0.6524242,0.66670996,0.1654698,-0.012960436,0.16440621,-0.0117920535
24,25.0,0.6524242,0.6524242,0.16109523,-0.011419709,0.16021988,-0.010381895
25,26.0,0.6524242,0.6378788,0.15690081,-0.010006462,0.15618762,-0.009082885
26,27.0,0.6378788,0.6378788,0.1528773,-0.008707808,0.152304,-0.007884541
27,28.0,0.6257576,0.6378788,0.14901586,-0.007512428,0.14856337,-0.0067775412
28,29.0,0.6257576,0.6257576,0.14530818,-0.006410338,0.14496014,-0.0057535833
29,30.0,0.6257576,0.6257576,0.14174636,-0.005392709,0.14148864,-0.0048052277
30,31.0,0.6257576,0.6257576,0.13832293,-0.004451725,0.13814339,-0.003925829
31,32.0,0.6257576,0.6257576,0.1350309,-0.0035804354,0.13491902,-0.0031094304
32,33.0,0.6257576,0.6257576,0.13186361,-0.0027726323,0.13181028,-0.00235068
33,34.0,0.6257576,0.6257576,0.12881482,-0.0020228017,0.12881221,-0.0016447704
34,35.0,0.6257576,0.60670996,0.12587866,-0.0013259785,0.1259199,-0.0009873619
35,36.0,0.60670996,0.60670996,0.12304963,-0.0006777281,0.12312875,-0.00037455448
36,37.0,0.60670996,0.60670996,0.120322466,-7.406399e-05,0.1204343,0.00019719191
37,38.0,0.61883116,0.60670996,0.11769228,0.0004886128,0.11783232,0.00073106383
38,39.0,0.61883116,0.61883116,0.11515443,0.0010135479,0.11531873,0.0012299645
39,40.0,0.61883116,0.61883116,0.11270459,0.001503661,0.11288969,0.0016965255
40,41.0,0.61883116,0.61883116,0.110338606,0.0019616215,0.11054154,0.0021331299
41,42.0,0.61883116,0.61883116,0.10805263,0.0023898296,0.10827074,0.0025419623
42,43.0,0.61883116,0.61883116,0.10584299,0.0027904692,0.10607399,0.0029249985
43,44.0,0.61883116,0.61883116,0.103706256,0.0031655368,0.10394812,0.0032840534
44,45.0,0.61883116,0.61883116,0.10163914,0.003516846,0.10189007,0.0036207896
45,46.0,0.61883116,0.61883116,0.09963857,0.0038460605,0.09989704,0.003936713
46,47.0,0.61883116,0.61883116,0.09770163,0.004154685,0.09796627,0.0042332215
47,48.0,0.61883116,0.61883116,0.09582557,0.004444114,0.09609517,0.0045115897
48,49.0,0.61883116,0.61883116,0.09400777,0.004715626,0.0942813,0.004772998
49,50.0,0.60772,0.61883116,0.09224578,0.004970382,0.0925223,0.005018519
50,51.0,0.60772,0.61883116,0.09053726,0.005209461,0.09081595,0.005249155
51,52.0,0.60772,0.61883116,0.088879965,0.0054338584,0.08916014,0.005465823
52,53.0,0.60772,0.60772,0.08727183,0.0056444844,0.08755284,0.0056693763
53,54.0,0.60772,0.60772,0.08571084,0.005842182,0.085992135,0.0058605997
54,55.0,0.60772,0.60772,0.08419512,0.0060277367,0.08447622,0.006040222
55,56.0,0.60772,0.60772,0.08272284,0.006201869,0.08300333,0.00620892
56,57.0,0.60772,0.60772,0.08129234,0.0063652494,0.081571825,0.006367323
57,58.0,0.60772,0.60772,0.07990195,0.006518503,0.08018012,0.006516012
58,59.0,0.60772,0.60772,0.07855015,0.006662205,0.078826725,0.0066555357
59,60.0,0.60772,0.60772,0.077235475,0.006796898,0.07751021,0.006786397
60,61.0,0.60772,0.60772,0.07595651,0.0069230767,0.07622918,0.0069090696
61,62.0,0.60772,0.60772,0.074711934,0.0070412145,0.07498235,0.00702399
62,63.0,0.60772,0.60772,0.07350048,0.0071517467,0.07376848,0.0071315826
63,64.0,0.5988312,0.60772,0.07232092,0.007255076,0.07258638,0.007232222
64,65.0,0.5988312,0.60772,0.071172126,0.007351593,0.07143492,0.007326274
65,66.0,0.5988312,0.60772,0.07005299,0.00744165,0.070313,0.007414081
66,67.0,0.5988312,0.6222655,0.06896244,0.007525582,0.0692196,0.0074959574
67,68.0,0.6133766,0.6222655,0.06789949,0.007603705,0.06815372,0.007572203
68,69.0,0.6061039,0.6222655,0.06686318,0.0076763155,0.06711442,0.007643102
69,70.0,0.6061039,0.6133766,0.06585258,0.0077436855,0.06610079,0.0077089146
70,71.0,0.6061039,0.6061039,0.06486684,0.0078060837,0.06511196,0.0077698953
71,72.0,0.617013,0.617013,0.0639051,0.007863749,0.0641471,0.007826273
72,73.0,0.617013,0.617013,0.062966555,0.007916918,0.063205436,0.007878276
73,74.0,0.617013,0.617013,0.06205045,0.007965807,0.062286176,0.007926108
74,75.0,0.617013,0.617013,0.061156042,0.00801062,0.0613886,0.007969974
75,76.0,0.617013,0.617013,0.060282618,0.008051561,0.060512014,0.008010053
76,77.0,0.617013,0.617013,0.059429515,0.008088806,0.05965575,0.008046528
77,78.0,0.617013,0.617013,0.058596075,0.008122531,0.058819138,0.008079565
78,79.0,0.617013,0.617013,0.057781678,0.008152902,0.05800159,0.008109325
79,80.0,0.617013,0.617013,0.05698573,0.008180077,0.0572025,0.008135956
80,81.0,0.617013,0.617013,0.056207646,0.008204202,0.05642129,0.008159603
81,82.0,0.617013,0.617013,0.055446893,0.008225423,0.055657424,0.008180402
82,83.0,0.617013,0.617013,0.054702926,0.008243865,0.05491037,0.008198482
83,84.0,0.617013,0.617013,0.053975247,0.008259662,0.05417962,0.008213965
84,85.0,0.60246754,0.617013,0.053263366,0.008272933,0.05346469,0.00822697
85,86.0,0.60246754,0.617013,0.052566808,0.00828379,0.052765112,0.008237607
86,87.0,0.60246754,0.617013,0.05188512,0.008292347,0.05208043,0.00824598
87,88.0,0.60246754,0.60246754,0.051217876,0.008298707,0.051410217,0.008252194
88,89.0,0.60246754,0.60246754,0.050564654,0.008302968,0.050754048,0.008256345
89,90.0,0.60246754,0.60246754,0.049925037,0.00830522,0.05011152,0.008258523
90,91.0,0.60246754,0.60246754,0.04929865,0.008305563,0.049482256,0.008258817
91,92.0,0.60246754,0.60246754,0.048685115,0.008304075,0.048865873,0.008257309
92,93.0,0.60246754,0.60246754,0.048084073,0.008300842,0.048262008,0.008254079
93,94.0,0.60246754,0.60246754,0.04749517,0.008295939,0.047670316,0.008249208
94,95.0,0.5548485,0.60246754,0.046918076,0.008289446,0.047090463,0.0082427645
95,96.0,0.5548485,0.5548485,0.046352465,0.00828143,0.046522133,0.008234822
96,97.0,0.57606065,0.5548485,0.045798026,0.008271961,0.045965,0.008225443
97,98.0,0.57606065,0.5548485,0.045254458,0.008261106,0.04541877,0.0082146935
98,99.0,0.57606065,0.5548485,0.04472146,0.008248925,0.04488315,0.008202636
99,100.0,0.57606065,0.57606065,0.04419876,0.008235482,0.044357855,0.008189326
